entry	table	slot	android_signature	pcs	status
JNI_OnLoad	export	-	jint(JavaVM*,void*)	direct-register-only	fixture-entry
GetVersion	JNIEnv	4	jint(JNIEnv*)	direct-register-only	implemented
FindClass	JNIEnv	6	jclass(JNIEnv*,const-char*)	direct-register-only	implemented
ThrowNew	JNIEnv	14	jint(JNIEnv*,jclass,const-char*)	direct-register-only	implemented
ExceptionOccurred	JNIEnv	15	jthrowable(JNIEnv*)	direct-register-only	forward-current-ART-env
ExceptionClear	JNIEnv	17	void(JNIEnv*)	direct-register-only	forward-current-ART-env
NewGlobalRef	JNIEnv	21	jobject(JNIEnv*,jobject)	direct-register-only	forward-current-ART-env
DeleteGlobalRef	JNIEnv	22	void(JNIEnv*,jobject)	direct-register-only	forward-current-ART-env
DeleteLocalRef	JNIEnv	23	void(JNIEnv*,jobject)	direct-register-only	forward-current-ART-env
NewLocalRef	JNIEnv	25	jobject(JNIEnv*,jobject)	direct-register-only	forward-current-ART-env
NewStringUTF	JNIEnv	167	jstring(JNIEnv*,const-char*)	direct-register-only	forward-current-ART-env
GetStringUTFLength	JNIEnv	168	jsize(JNIEnv*,jstring)	direct-register-only	forward-current-ART-env
GetStringUTFChars	JNIEnv	169	const-char*(JNIEnv*,jstring,jboolean*)	direct-register-only	forward-current-ART-env
ReleaseStringUTFChars	JNIEnv	170	void(JNIEnv*,jstring,const-char*)	direct-register-only	forward-current-ART-env
GetArrayLength	JNIEnv	171	jsize(JNIEnv*,jarray)	direct-register-only	forward-current-ART-env
NewByteArray	JNIEnv	176	jbyteArray(JNIEnv*,jsize)	direct-register-only	forward-current-ART-env
GetByteArrayRegion	JNIEnv	200	void(JNIEnv*,jbyteArray,jsize,jsize,jbyte*)	direct-register-only	forward-current-ART-env
SetByteArrayRegion	JNIEnv	208	void(JNIEnv*,jbyteArray,jsize,jsize,const-jbyte*)	direct-register-only	forward-current-ART-env
RegisterNatives	JNIEnv	215	jint(JNIEnv*,jclass,const-JNINativeMethod*,jint)	direct-register-only	implemented
ExceptionCheck	JNIEnv	228	jboolean(JNIEnv*)	direct-register-only	forward-current-ART-env-with-standalone-fallback
GetDirectBufferAddress	JNIEnv	230	void*(JNIEnv*,jobject)	direct-register-only	forward-current-ART-env
GetDirectBufferCapacity	JNIEnv	231	jlong(JNIEnv*,jobject)	direct-register-only	forward-current-ART-env
GetEnv	JavaVM	6	jint(JavaVM*,void**,jint)	direct-register-only	implemented
